ItemNumber,Description,Manufacturer,Category,ImageURL,PDFURL,ProductURL,Tags
70156626,"Accessory, 300 mm, Pistol handle",ALTECH CORP,Electrical,https://ryedesign.github.io/spare-parts-assets/Altech_70156626_300mmPistolHandle.png,https://ryedesign.github.io/spare-parts-assets/Altech_70156626_300mmPistolHandle.pdf,https://www.ryebot.com/parts/?item=70156626,"altech corp, electrical"
70156759,Door Interlock Handle,ALTECH CORP,Electrical,https://ryedesign.github.io/spare-parts-assets/Altech_70156759_DoorInterlockHandle.png,https://ryedesign.github.io/spare-parts-assets/Altech_70156759_DoorInterlockHandle.pdf,https://www.ryebot.com/parts/?item=70156759,"altech corp, door lock, electrical, interlock, safety interlock, safety switch"
70156984,"Switch and Accessory, 25 A, 600 VAC (Max.), 3, 50.5 mm, 74 mm, 73 mm, 16",ALTECH CORP,Electrical,https://ryedesign.github.io/spare-parts-assets/Altech_70156984_SwitchAccessory.png,https://ryedesign.github.io/spare-parts-assets/Altech_70156984_SwitchAccessory.pdf,https://www.ryebot.com/parts/?item=70156984,"altech corp, electrical"
GM000020.00,"FLEXIBOWL, CLOCKWISE, QUICK EMPTYING",ARS,Accessories,https://ryedesign.github.io/spare-parts-assets/ARS_GM000020.00_Flexibowl.png,https://ryedesign.github.io/spare-parts-assets/ARS_GM000020.00_Flexibowl.pdf,https://www.ryebot.com/parts/?item=GM000020.00,"ars, robotics accessories"
8652APBK4QA00GA,652 Series Filter-Regulator Particulate,AVENTICS,Pneumatics,https://ryedesign.github.io/spare-parts-assets/Aventics_8652APBK4QA00GA_652SeriesFilter.png,https://ryedesign.github.io/spare-parts-assets/Aventics_8652APBK4QA00GA_652SeriesFilter.pdf,https://www.ryebot.com/parts/?item=8652APBK4QA00GA,"aventics, emerson pneumatics, filter regulator, frl, numatics, pneumatics, pressure regulator, regulator"
8653APBK4R101GA,653 Series Filter-Regulator Particulate,AVENTICS,Pneumatics,https://ryedesign.github.io/spare-parts-assets/Aventics_8653APBK4R101GA_653SeriesFilter.png,https://ryedesign.github.io/spare-parts-assets/Aventics_8653APBK4R101GA_653SeriesFilter.pdf,https://www.ryebot.com/parts/?item=8653APBK4R101GA,"aventics, emerson pneumatics, filter regulator, frl, numatics, pneumatics, pressure regulator, regulator"
CCI-DA-050-0100,"CYLINDER, 50MM BORE X 100 MM S TROKE, COMPACT",AVENTICS,Pneumatics,https://ryedesign.github.io/spare-parts-assets/Aventics_CCI-DA-050-0100_Cylinder.png,https://ryedesign.github.io/spare-parts-assets/Aventics_CCI-DA-050-0100_Cylinder.pdf,https://www.ryebot.com/parts/?item=CCI-DA-050-0100,"actuator, air cylinder, aventics, cylinder, emerson pneumatics, numatics, pneumatic cylinder, pneumatics"
K502AK431477003,502 EP VERT 1/2PF STD KT,AVENTICS,Pneumatics,https://ryedesign.github.io/spare-parts-assets/Aventics_K502AK431477003_502EPVERT12PFSTDKT.png,https://ryedesign.github.io/spare-parts-assets/Aventics_K502AK431477003_502EPVERT12PFSTDKT.pdf,https://www.ryebot.com/parts/?item=K502AK431477003,"aventics, emerson pneumatics, numatics, pneumatics"
K502AMM22MA0010,502 Series Manifold Sub Base,AVENTICS,Pneumatics,https://ryedesign.github.io/spare-parts-assets/Aventics_K502AMM22MA0010_502SeriesManifolSubBase.png,https://ryedesign.github.io/spare-parts-assets/Aventics_K502AMM22MA0010_502SeriesManifolSubBase.pdf,https://www.ryebot.com/parts/?item=K502AMM22MA0010,"aventics, emerson pneumatics, manifold, numatics, pneumatic manifold, pneumatics, valve manifold"
K503AK428327005,503 EP VERT 1/2PF STD KT,AVENTICS,Pneumatics,https://ryedesign.github.io/spare-parts-assets/Aventics_K503AK428327005_503EPVERT12PFSTDKT.png,https://ryedesign.github.io/spare-parts-assets/Aventics_K503AK428327005_503EPVERT12PFSTDKT.pdf,https://www.ryebot.com/parts/?item=K503AK428327005,"aventics, emerson pneumatics, numatics, pneumatics"
